	24/04/2025 00:00:08	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 23124, QuentityForSale = 1, TotalPriceSale = 2, IsAllCustomer = True, StartDate = 24/04/2025 00:00:01, EndDate = 24/04/2025 00:00:01 }
	24/04/2025 00:00:08	Dal.SaleImplementation.Create:	end create Sale { SaleId = 533, ProdId = 23124, QuentityForSale = 1, TotalPriceSale = 2, IsAllCustomer = True, StartDate = 24/04/2025 00:00:01, EndDate = 24/04/2025 00:00:01 }
	24/04/2025 00:00:49	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 233, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = True, StartDate = 24/04/2025 00:00:43, EndDate = 24/04/2025 00:00:43 }
	24/04/2025 00:00:49	Dal.SaleImplementation.Create:	end create Sale { SaleId = 534, ProdId = 233, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = True, StartDate = 24/04/2025 00:00:43, EndDate = 24/04/2025 00:00:43 }
	24/04/2025 00:02:36	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 54878, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = True, StartDate = 24/04/2025 00:02:32, EndDate = 24/04/2025 00:02:32 }
	24/04/2025 00:02:36	Dal.SaleImplementation.Create:	end create Sale { SaleId = 535, ProdId = 54878, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = True, StartDate = 24/04/2025 00:02:32, EndDate = 24/04/2025 00:02:32 }
	24/04/2025 00:07:33	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 4889798, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = False, StartDate = 24/04/2025 00:07:27, EndDate = 24/04/2025 00:07:27 }
		24/04/2025 00:07:46	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 100, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = False, StartDate = 24/04/2025 00:07:27, EndDate = 24/04/2025 00:07:27 }
	24/04/2025 00:10:03	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 8, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = False, StartDate = 24/04/2025 00:09:55, EndDate = 24/04/2025 00:09:55 }
		24/04/2025 00:10:08	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 100, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = False, StartDate = 24/04/2025 00:09:55, EndDate = 24/04/2025 00:09:55 }
	24/04/2025 00:11:26	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 45, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = False, StartDate = 24/04/2025 00:11:22, EndDate = 24/04/2025 00:11:22 }
		24/04/2025 00:11:30	Dal.SaleImplementation.Create:	begin create Sale { SaleId = 1, ProdId = 100, QuentityForSale = 1, TotalPriceSale = 1, IsAllCustomer = False, StartDate = 24/04/2025 00:11:22, EndDate = 24/04/2025 00:11:22 }
